arabic,fonts/bank.ttf,fonts/mix_gothic.ttf,
arabic,fonts/default.otf,fonts/mix.ttf,
arabic,fonts/defaultBold.otf,fonts/ibmplexsansarabic-semibold_custom.ttf,
czech,fonts/bank.ttf,fonts/mix_gothic.ttf,
czech,fonts/default.otf,fonts/mix.ttf,
czech,fonts/defaultBold.otf,fonts/mix_open.ttf,
japanese_full,fonts/default.otf,fonts/mix.ttf,
japanese_full,fonts/defaultBold.otf,fonts/mix_open.ttf,
japanese_partial,fonts/default.otf,fonts/mix.ttf,
japanese_partial,fonts/defaultBold.otf,fonts/mix_open.ttf,
korean,fonts/default.otf,fonts/mix.ttf,
korean,fonts/defaultBold.otf,fonts/mix_open.ttf,
polish,fonts/bank.ttf,fonts/mix_gothic.ttf,
polish,fonts/default.otf,fonts/mix.ttf,
polish,fonts/defaultBold.otf,fonts/mix_open.ttf,
russian,fonts/bank.ttf,fonts/mix_gothic.ttf,
russian,fonts/default.otf,fonts/mix.ttf,
russian,fonts/defaultBold.otf,fonts/mix_open.ttf,
russian_partial,fonts/bank.ttf,fonts/mix_gothic.ttf,
russian_partial,fonts/default.otf,fonts/mix.ttf,
russian_partial,fonts/defaultBold.otf,fonts/mix_open.ttf,
simplified_chinese,fonts/default.otf,fonts/mix.ttf,
simplified_chinese,fonts/defaultBold.otf,fonts/mix_open.ttf,
traditional_chinese,fonts/default.otf,fonts/mix.ttf,
traditional_chinese,fonts/defaultBold.otf,fonts/mix_open.ttf,